job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/buyer-at-michael-page-3774886307,2024-01-19 09:45:09.215838+00,t,t,f,Buyer,Michael Page,"Orchard Park, NY",2024-01-13,West Seneca,United States,Page,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-behavioral-health-prn-at-devereux-advanced-behavioral-health-3786574983,2024-01-21 03:58:07.995159+00,t,t,f,Registered Nurse Behavioral Health (PRN),Devereux Advanced Behavioral Health,"Lawrenceville, GA",2024-01-16,Bethlehem,United States,Psychiatric Technician,Mid senior,Onsite
https://www.linkedin.com/jobs/view/louisville-cpa-reg-tutor-at-varsity-tutors-a-nerdy-company-3796522990,2024-01-19 13:46:25.262902+00,t,t,f,Louisville CPA REG Tutor,"Varsity Tutors, a Nerdy Company","Louisville, KY",2024-01-14,Westport,United States,Tutor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/certified-surgical-technologist-cst-at-amsurg-3575892249,2024-01-20 02:44:43.331642+00,t,t,f,Certified Surgical Technologist - CST,AMSURG,"Knoxville, TN",2024-01-16,Louisville,United States,Polysomnographic Technician,Mid senior,Onsite
https://www.linkedin.com/jobs/view/kitchen-prep-at-bob-evans-restaurants-llc-3803188094,2024-01-20 04:00:14.062201+00,t,t,f,Kitchen Prep,"Bob Evans Restaurants, LLC","Canonsburg, PA",2024-01-14,Steubenville,United States,Stand-In,Associate,Onsite
https://www.linkedin.com/jobs/view/rn-pcu-stepdown-at-healthcare-support-3800586542,2024-01-20 07:42:56.453434+00,t,t,f,- - RN PCU/Stepdown,HealthCare Support,"Youngstown, OH",2024-01-14,Bessemer,United States,Recruiter,Mid senior,Onsite
https://www.linkedin.com/jobs/view/accounting-manager-at-jobot-3805383260,2024-01-21 16:52:55.186889+00,t,t,f,Accounting Manager,Jobot,"Chicago, IL",2024-01-16,Brookfield,United States,Supervisor Accounts Receivable,Mid senior,Onsite
https://www.linkedin.com/jobs/view/nurse-practitioner-prn-hra-at-northeast-healthcare-recruitment-inc-3805763329,2024-01-20 02:28:09.226298+00,t,t,f,Nurse Practitioner PRN ( HRA ),"Northeast Healthcare Recruitment, Inc.","Muncy, PA",2024-01-14,Bloomsburg,United States,Christian Science Nurse,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-software-engineer-distributed-systems-at-recruiting-from-scratch-3744395170,2024-01-21 15:58:47.809122+00,t,t,f,"Senior Software Engineer, Distributed Systems",Recruiting from Scratch,"Los Angeles, CA",2024-01-17,Pasadena,United States,Systems Programmer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/substitute-teacher-aide-at-copilot-careers-3804641399,2024-01-19 09:45:09.215838+00,t,t,f,Substitute Teacher Aide,Copilot Careers,"Upper Darby, PA",2024-01-13,Norristown,United States,Music Copyist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/hvac-start-up-sr-service-technician-iii-at-tdindustries-inc-3798836878,2024-01-21 06:57:44.106466+00,t,t,f,HVAC/Start Up - Sr Service Technician III,"TDIndustries, Inc.","Dallas, TX",2024-01-14,Garland,United States,Refrigeration Mechanic,Mid senior,Onsite
https://www.linkedin.com/jobs/view/account-director-at-netcracker-technology-3709748100,2024-01-21 06:50:58.031709+00,t,t,f,Account Director,Netcracker Technology,"San Francisco, CA",2024-01-15,Berkeley,United States,Counter Hand,Mid senior,Onsite
https://www.linkedin.com/jobs/view/customer-solutions-representative-%E2%80%93-collector-starting-april-1-2024-jacksonville-fl-at-ally-3803487228,2024-01-21 02:16:59.639228+00,t,t,f,"Customer Solutions Representative – Collector - Starting April 1, 2024 (Jacksonville, FL)",Ally,"Jacksonville, FL",2024-01-15,Jacksonville,United States,Collector,Mid senior,Onsite
https://www.linkedin.com/jobs/view/engineering-project-manager-airports-at-avcon-inc-3776477030,2024-01-19 09:45:09.215838+00,t,t,f,"Engineering Project Manager, Airports","AVCON, INC.","Fort Lauderdale, FL",2024-01-13,Pompano Beach,United States,Documentation Engineer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/system-of-care-specialist-school-of-social-work-at-university-of-illinois-urbana-champaign-3789752712,2024-01-19 14:28:41.326026+00,t,t,f,System of Care Specialist- School of Social Work,University of Illinois Urbana-Champaign,"Urbana, IL",2024-01-14,Seymour,United States,Change Person,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/employment-solicitor-partner-at-tiptopjob-3794969812,2024-01-19 09:45:09.215838+00,t,t,f,Employment Solicitor (Partner),TipTopJob,"Bristol, England, United Kingdom",2024-01-13,Newport,United Kingdom,Guide,Mid senior,Onsite
https://www.linkedin.com/jobs/view/lead-sales-associate-ft-at-dollar-general-3661944332,2024-01-21 16:51:51.811139+00,t,t,f,LEAD SALES ASSOCIATE-FT,Dollar General,"Gulf Breeze, FL",2024-01-14,Pensacola,United States,Check Cashier,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-administrative-assistant-at-atrium-health-3805529275,2024-01-19 09:45:09.215838+00,t,t,f,Senior Administrative Assistant,Atrium Health,"Charlotte, NC",2024-01-13,Gastonia,United States,Emergency Medical Services Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/assistant-project-manager-at-branch-3802848221,2024-01-20 01:05:13.947696+00,t,t,f,ASSISTANT PROJECT MANAGER,Branch,"Roanoke, VA",2024-01-14,Amsterdam,United States,Field Contractor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/dentist-at-center-for-disability-services-3729158644,2024-01-19 09:45:09.215838+00,t,t,f,Dentist,Center for Disability Services,"Albany, NY",2024-01-13,Cohoes,United States,Dental Assistant,Mid senior,Onsite
